faostat,m49_code,country_name_en,item_code,item,year,yield_kg_ha,yield_kg_ha_flag,production_tonnes,production_tonnes_flag,area_harvested_ha,area_harvested_ha_flag
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1981,,,7616.000000,A,9423.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1962,,,3300.000000,A,5000.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2011,,,2019.840000,I,4006.000000,I
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2022,,,1585.190000,E,3811.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",2004,,,132.990000,I,169.000000,I
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1980,,,950.000000,E,1100.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",2003,,,135.330000,I,167.000000,I
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1987,,,289.000000,A,300.000000,E
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1997,,,8600.000000,E,8649.000000,A
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1998,,,9000.000000,E,9000.000000,E
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1969,,,,M,,M
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2015,,,6442.160000,I,15078.000000,I
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1970,,,,M,,M
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2000,,,10000.000000,E,10000.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1983,,,2600.000000,E,3700.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1972,,,1200.000000,E,1800.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1989,,,3200.000000,E,4200.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",2001,,,4150.000000,E,5100.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1973,,,1600.000000,E,2500.000000,E
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1974,,,2700.000000,A,2600.000000,A
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1976,,,1393.000000,A,2438.000000,A
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",2004,,,4006.390000,I,3984.000000,I
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1971,,,2400.000000,A,2730.000000,A
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1999,,,3999.850000,I,3901.000000,I
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",2013,,,4000.000000,E,4000.000000,E
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1987,,,23520.000000,A,19300.000000,A
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",2005,,,6364.900000,I,13174.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1974,,,10800.000000,E,10000.000000,E
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1997,,,1900.000000,E,1773.000000,I
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1971,,,0.000000,A,0.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1979,,,4487.000000,A,2456.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1996,,,1800.000000,E,1637.000000,I
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1980,,,6081.000000,A,3244.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1984,,,6302.000000,A,3200.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1995,,,1000.000000,E,1000.000000,E
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1964,,,3300.000000,A,5000.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2012,,,1850.000000,E,4000.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1992,,,110.910000,I,124.000000,I
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1977,,,930.000000,E,1100.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1961,,,500.000000,E,500.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",2016,,,120.010000,E,198.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",2000,,,145.000000,E,160.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",2006,,,128.690000,I,170.000000,I
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",2010,,,119.510000,I,172.000000,I
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",2013,,,115.000000,E,180.000000,E
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1964,,,,M,,M
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2003,,,8990.250000,I,9876.000000,I
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2016,,,6083.490000,I,13576.000000,E
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1968,,,,M,,M
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1978,,,,M,,M
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1982,,,3400.000000,E,3383.000000,A
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",2004,,,4350.000000,E,5300.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1970,,,400.000000,A,600.000000,A
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1980,,,2400.000000,E,3500.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1963,,,400.000000,A,500.000000,A
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",2002,,,4200.000000,E,5150.000000,E
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1970,,,2408.000000,A,2790.000000,A
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1983,,,3400.000000,A,3230.000000,A
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",2018,,,4002.840000,I,3998.000000,I
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",2008,,,3989.230000,I,3957.000000,I
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",2011,,,3979.690000,I,3950.000000,I
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1975,,,1759.000000,A,2470.000000,A
